,a,b,Clicked,Color,Link Color
58,kongsi,High,364,#4B8BBE,#4B8BBE
59,kongsi,Very High,270,#4B8BBE,#4B8BBE
60,love,Very Low,910,#FFE873,#FFE873
61,love,Low,2234,#FFE873,#FFE873
62,love,Medium,3342,#FFE873,#FFE873
63,love,High,4700,#FFE873,#FFE873
64,love,Very High,2772,#FFE873,#FFE873
65,melangkah,Very Low,371,#4B8BBE,#4B8BBE
66,melangkah,Low,766,#4B8BBE,#4B8BBE
67,melangkah,Medium,1317,#4B8BBE,#4B8BBE
68,melangkah,High,1475,#4B8BBE,#4B8BBE
69,melangkah,Very High,1161,#4B8BBE,#4B8BBE
70,new,Very Low,580,#D3D3D3,#D3D3D3
71,new,Low,1522,#D3D3D3,#D3D3D3
72,new,Medium,2282,#D3D3D3,#D3D3D3
73,new,High,3086,#D3D3D3,#D3D3D3
74,new,Very High,1791,#D3D3D3,#D3D3D3
75,premium,Very Low,207,#4B8BBE,#4B8BBE
76,premium,Low,384,#4B8BBE,#4B8BBE
77,premium,Medium,700,#4B8BBE,#4B8BBE
78,premium,High,933,#4B8BBE,#4B8BBE
79,premium,Very High,396,#4B8BBE,#4B8BBE
80,prizes,Very Low,91,#646464,#646464
81,prizes,Low,165,#646464,#646464
82,prizes,Medium,308,#646464,#646464
83,prizes,High,361,#646464,#646464
84,prizes,Very High,261,#646464,#646464
85,protect,Very Low,45,#4B8BBE,#4B8BBE
86,protect,Low,92,#4B8BBE,#4B8BBE
87,protect,Medium,141,#4B8BBE,#4B8BBE
88,protect,High,324,#4B8BBE,#4B8BBE
89,protect,Very High,117,#4B8BBE,#4B8BBE
90,reblast,Very Low,41,#306998,#306998
91,reblast,Low,105,#306998,#306998
92,reblast,Medium,187,#306998,#306998
93,reblast,High,265,#306998,#306998
94,reblast,Very High,144,#306998,#306998
95,shopee,Very Low,554,#D3D3D3,#646464
96,shopee,Low,1317,#D3D3D3,#646464
97,shopee,Medium,1941,#D3D3D3,#646464
98,shopee,High,2836,#D3D3D3,#646464
99,shopee,Very High,1638,#D3D3D3,#646464
